Legacy_Name	glyph_name	ps_name	USV	Dir	DesignerOrder	fonts	base	Glyphsbase	above	below	center	ring	through	aboveLeft	MirrorGlyph	UnicodeVer	old name / commet	bcp47tags	OTLang	Feat	MarkGroup
absTehRingIni	tehRing-ar.init	uni067C.init		AL	326	SHL	absBehNoDotsIni	behDotless-ar.init	_dot2h			_ring									
absTehThreeDotsAboveDownwards	tehThreedotsdown-ar	uni067D	067D	AL	327	SHL	absBehNoDots	behDotless-ar	_dot3d												
absTehThreeDotsAboveDownwardsFin	tehThreedotsdown-ar.fina	uni067D.fina		AL	328	SHL	absBehNoDotsFin	behDotless-ar.fina	_dot3d												
absTehThreeDotsAboveDownwardsMed	tehThreedotsdown-ar.medi	uni067D.medi		AL	329	SHL	absBehNoDotsMed	behDotless-ar.medi	_dot3d												
absTehThreeDotsAboveDownwardsIni	tehThreedotsdown-ar.init	uni067D.init		AL	330	SHL	absBehNoDotsIni	behDotless-ar.init	_dot3d												
absTheh	theh-ar	uni062B	062B	AL	331	SHLM	absBehNoDots	behDotless-ar	_dot3u												
absThehFin	theh-ar.fina	uni062B.fina		AL	332	SHLM	absBehNoDotsFin	behDotless-ar.fina	_dot3u												
absThehMed	theh-ar.medi	uni062B.medi		AL	333	SHLM	absBehNoDotsMed	behDotless-ar.medi	_dot3u												
absThehIni	theh-ar.init	uni062B.init		AL	334	SHLM	absBehNoDotsIni	behDotless-ar.init	_dot3u												
absTteh	tteh-ar	uni0679	0679	AL	335	SHL	absBehNoDots	behDotless-ar	_tah												
absTtehFin	tteh-ar.fina	uni0679.fina		AL	336	SHL	absBehNoDotsFin	behDotless-ar.fina	_tah												
absTtehMed	tteh-ar.medi	uni0679.medi		AL	337	SHL	absBehNoDotsMed	behDotless-ar.medi	_tah												
absTtehIni	tteh-ar.init	uni0679.init		AL	338	SHL	absBehNoDotsIni	behDotless-ar.init	_tah												
absTteheh	tteheh-ar	uni067A	067A	AL	339	SHL	absBehNoDots	behDotless-ar	_dot2v												
absTtehehFin	tteheh-ar.fina	uni067A.fina		AL	340	SHL	absBehNoDotsFin	behDotless-ar.fina	_dot2v												
absTtehehMed	tteheh-ar.medi	uni067A.medi		AL	341	SHL	absBehNoDotsMed	behDotless-ar.medi	_dot2v												
absTtehehIni	tteheh-ar.init	uni067A.init		AL	342	SHL	absBehNoDotsIni	behDotless-ar.init	_dot2v												
absTeheh	teheh-ar	uni067F	067F	AL	343	SHL	absBehNoDots	behDotless-ar	_dot4												
absTehehFin	teheh-ar.fina	uni067F.fina		AL	344	SHL	absBehNoDotsFin	behDotless-ar.fina	_dot4												
absTehehMed	teheh-ar.medi	uni067F.medi		AL	345	SHL	absBehNoDotsMed	behDotless-ar.medi	_dot4												
absTehehIni	teheh-ar.init	uni067F.init		AL	346	SHL	absBehNoDotsIni	behDotless-ar.init	_dot4												
